Topic,Count,Name,Representation,Representative_Docs
80,56,80_beans_refried_bean_canned,"['beans', 'refried', 'bean', 'canned', 'mexican', 'pinto', 'beansbr', 'fe', 'gramsbr', 'eden']","['I found these beans to be nothing special. I found their flavor to be boring and bland compared to the best of other Cannellini beans I\'ve purchased in bulk from health food stores. On the positive side, the beans were big, plump, and fairly healthy (many had crosswise deep cracks, which was not good) and seemed fresh (purchased 12/2009 and had ""best by"" date of 9/2011). They cooked quickly, which is a sign of freshness, and they tasted fresh.<br /><br />But their flavor was bland; some nice mineral notes, but just not very ""beany."" There were also some slightly off earthy notes, which I did not care for. I also found their texture to be a bit grainy and not very creamy.<br /><br />I cooked them once with an overnight cold soak in a salt brine (as recommended by Cook\'s Illustrated to tenderize skins, which really works) and once with a one-hour hot soak in brine (Cook\'s Illustrated\'s recommended quick method). One time I cooked them on a very slow simmer to keep the beans whole (which does sacrifice some creaminess), and once at a strong simmer to let the bean skins break open to maximize creaminess. But even this latter method failed to make them creamy -- unlike most white beans. I cook lots of dry beans and have many years of experience cooking beans, so how these beans turned out had nothing to do with how I cooked them. The best of other white beans I\'ve had cook up wonderfully creamy and flavorful. These beans were just far from the best.', 'These beans are great! I use them to make my own extract, and the flavor is excellent! I would highly recommend these beans for any kind of cooking use.', ""I guess the title says it all.  Some beans (like pintos) are as good or better when soaked from dry and cooked at home than the canned version, but I much prefer canned cannellini beans.  I use them in Italian tuna/bean salad and in soups.  The cans drain easily.  There could be a few more beans in each can and a bit less liquid, but all in all they are most satisfactory.  I feel a lot healthier knowing I'm not getting any BPA poisons along with my tasty white beans.<br /><br />We eat very little meat so it is important to me to use the best beans, and in my opinion Eden brand is the best.""]"
81,56,81_lavazza_espresso_crema_stovetop,"['lavazza', 'espresso', 'crema', 'stovetop', 'gusto', 'grind', 'coffee', 'bialetti', 'machine', 'illy']","[""I make espresso on a Krups machine with Cafe Lavazza. In comparison to Cafe Bustelo, which has a boring, but tolerable strong dark roast espresso flavor, Lavazza espresso has a more unique, rich syrupy flavor.<br /><br />However, if I compare Lavazza to the beans that I bought at Four Barrel in San Francisco last week, Lavazza's flavor seems pretty boring. I give it 4 stars because it is a great deal for the price and has good flavor."", ""I'm comparing this to Lavazza Cafe Espresso and Lavazza In Blue.  I'm not a coffee guru...I can't really go in depth about the flavors, aromas, depth, etc....I can tell you that with Lavazza Cafe Espresso i get a palpable caffeine jolt from a 14 gram double espresso extracted over 20 seconds on my gaggia. Not really fond of the taste. I use Cafe Espresso for iced espressos and americanos. I can sort of taste some chocolate and nutty flavors, it does have a bit of a sweet taste, but it seems to have a lingering bitterness. Lavazza In Blue has a cleaner aftertaste and is more chocolatey. In Blue is a bit smoother as well. Illy Is my favorite, clean after taste, not bitter, smoother than both. Plus it seems to have a bit more caffeine kick...but i think that's just mental or maybe because i drink Illy as a straight shot. If you don't mind spending the money, I would buy Illy. If you find it ludicrous to spend $12 on 8 ounce coffee, which i doubt since you probably have a nice machine if you are reading this, I would buy Lavazza In Blue (i can get it for $8 at World Market). If you just want a preground espresso to make coffee drinks, or iced drinks and don't want to spend too much nor buy a burr grinder and grind your own, i would get the Lavazza Cafe Espresso. Still waiting to try Oro and Illy Dark roast.<br />Lavazza Cafe Espresso would get 3.5/5 from me. In Blue would get 4/5, Illy 4.5/5."", ""I first tasted and loved Lavazza espresso during time in Italy, where it's popularly consumed. The rich aroma and full flavor are a delight, and I don't find it overly acidic (it's certainly MUCH easier on my stomach than American-style drip coffee, and this from someone with strong stomach and a love of all kinds of drip coffees). I haven't tasted the various Lavazza roasts extensively, but I typically buy and adore Crema e Gusto--in fact, I brew it *every* single morning I'm at home and drink it latte-style, at about a 2:1 warmed-milk to hot-espresso ratio.<br /><br />I heartily recommend buying an authentic Italian stovetop coffeemaker to brew this espresso. I have and love the Bialetti six-cup caffettiere (Bialetti 6800 Moka Express 6-Cup Stovetop Espresso Maker, found here on Amazon). It's what the typical Italian family uses every morning and throughout the day.<br /><br />The Lavazza vacuum packs are sturdy and small little bricks that store easily, and every time I snip open a new container the distinctive, warm aroma rush fills my kitchen. Mmmm, Lavazza.""]"
82,55,82_bold_coffee_extra_strong,"['bold', 'coffee', 'extra', 'strong', 'bitter', 'dark', 'cup', 'smooth', 'like', 'aftertaste']","['I did not expect such a bold taste from this coffee, also I made it in a 10 cup pot and it is really suited to a 12 cup pot unless you like your coffee pretty strong.<br />For a low acid coffee, it does not taste any different and is notable for the strikingly bold taste.<br /><br />If anything it is a little too bold however, very, still very drinkable and supposedly good for acid reflux sufferers like me.<br /><br />I am contemplating buying a supply of this coffee but really would like something a little less bold!<br /><br />A good coffee which will be popular with a lot of people~', ""For an extra bold blend this coffee is extremely smooth with very little to no aftertaste. It is definitely in my top 5 k-cups. Many people argue that it is not in fact an extra bold roast, however, extra bold does not mean overly strong and bitter like many expect. I myself like many extra bold roasts that are also smooth like this one and the Coffee People's Donut Shop Coffee; I also like medium roasts. If you like smooth coffee without the aftertaste this is the coffee for you -- enjoy."", 'I love this coffee!  It is strong and bold just the way I like it.']"
83,55,83_flour_bread_wheat_baking,"['flour', 'bread', 'wheat', 'baking', 'recipe', 'mill', 'breads', 'pancakes', 'almond', 'gf']","['I make bread every week using my bread machine.  I use white flour, white whole wheat flour and whole wheat flour in my breads. My formula for turning plain flour into bread flour is simply to add 1 teaspoon of Hodgson Mill Vital Gluten to 1 cup of flour and the results are perfect every time. I learned this technique from an Interent How-to-Do feature and I have never changed the gluten/flour ratio because of the continued wonderful results.<br />This is a great product that I would not be without, if I want to continue having perfect bread. Thank you Hodgson Mill.<br /><br />Theresa Lamberti<br />Houston, TX', ""I bought a bag of this at the store to use in gluten free baking. I replaced the wheat flour with an equal amount of this GF flour blend. The results were great! Everything I have made with this flour as a replacement in a regular recipe for wheat flour has turned out delicious. You do need to add the correct portion of xanthan gum or guar gum, but the side of the bag gives you the idea of how much you'll need. I have used this to make cookies, bread (you will need to cook the bread longer than the recipe calls for, I have found), muffins, and pizza crust. It has all turned out great. Highly recommend this flour blend. I signed up for subscribe and save so that I never run out. Plus, it is a much cheaper alternative to buying the flour in the grocery store."", 'This 4-pound bag is a good product for those in need of wheat-free flour.  Makes very tasty bread. Much cheaper than buying a box of flour.']"
84,54,84_meat_gravy_beef_tvp,"['meat', 'gravy', 'beef', 'tvp', 'vegetarian', 'hamburger', 'ground', 'bisto', 'chili', 'tacos']","[""I bought a 12-pack of Redi-Burger about three months ago after reading the previous reviews. I have tried numerous Loma Linda, Worthington, Morningstar Farms, Boca, etc protein or meat substitute products over the past 30 years, but this is without doubt the worst of them.<br />I ordered this product for shelf storage during the winter months since my freezer space is limited and thought it would be convenient to occasionally open a can to slice for burgers, or chop up for use in tacos, chili, casseroles, etc. I expected the quality would be similar to other Worthington and Loma Linda canned products. I have tried to use this product in these various ways for several months and it's just horrible and can't be disguised even in other dishes. I'm going to donate the remaining cans to local meals program. The problem is the taste and texture. It tastes burned right out of the can, and has a sandy/gritty or mealy texture that doesn't help. After much consideration, I would describe the taste as a concentrated, burned hamburger bun that caught some of the aroma or seasonings of a hamburger or veggie burger along the way.<br />I love Worthington and Loma Linda's other products and would quickly recommend them such as the canned veggie sausage links, Tender Bites, Burger, the frozen Morningstar Farms and Boca burgers, sausage and crumbles, etc. Redi-Burger though is so bad that it could make a vegetarian reconsider eating meat."", ""Bisto is hands down the best! My mother turned me onto it a few years back and now I wouldn't think of using a white thickener (flour, corn starch) for any meat or poultry gravy again!<br /><br />What's so fantastic about Bisto Favourite is that you can make as much gravy as you want even from meats that give you hardly any drippings. Takes no time or effort at all and never ever gets lumps. You can even pour it directly into already cooking gravy. Can't do that with flour! It's foolproof. Gravy made with this always has plenty of great flavor, color and body.<br /><br />I've only tried the favourite and poultry flavors but am curious about the onion one. Personally, I don't like the Bisto for poultry flavor. I use favourite for both meat and poultry gravies. It has a lovely flavor and color that really works with everything. Just cut back on salt when seasoning the meat because the Bisto will add some.<br /><br />What I also love is that I can make a little 'quick' gravy for any leftover food that has no gravy by simply putting a dash of Bisto in the bottom of the plate, pour a little water over it. Place the meat/potatoes/whatever on the plate and microwave. When it's done the granules have melted and incorporated into the water and it is much like natural au jus. I get a nice moist leftover i/o something dry and bland.<br />I do the same thing in the bottom of the broiler pan as I cook the meat so when the meat is done, the gravy is already hot, has the drippings and just needs a quick reduction and it's ready to serve.<br /><br />You'll never fail at gravy-making with Bisto Favourite!"", 'Bought the first case on a whim thinking that I would sneak some in the chili or tacos without telling the family.  Well, the hubby saw my put it in and threw a hissy fit.  Chili turned out great, but he was not a believer.  Eventually he wanted to add some burger to something he was preparing and we did not have it in the house, so he grabbed a can of this.  He has loved it ever since!  This comes unseasoned so be prepared to season it well to go along with whatever it is you are using it in.  Originally I planned on only using it in chili and for taco ""meat"", but we have expanded the use.  Yesterday we made meatloaf that had ground turkey blended with this and it turned out terrific.  The hubby blends it all the time with ground turkey and the kids are totally unaware.  We did try it once with a box of hamburger helper and we won\'t do that again- messed up the texture too much.  I also love that it is shelf stable so it is a great pantry item.<br /><br />Be warned- if you are not used to working with this stuff it seems a little nasty coming out the can.  It does cook up great so long as you season it though.  The calories are half that of the ground turkey we use and has more protein.  Check out the nutrition label- it is some good stuff.  Highly recommend!']"
85,54,85_fruit_strawberry_applesauce_kids,"['fruit', 'strawberry', 'applesauce', 'kids', 'snack', 'apple', 'rollups', 'ropes', 'snacks', 'twists']","['Delicious fruit-twists with a great, chewy texture - the twist is thick enough to feel substantial.  Way better than those ""Fruit Roll-ups"" of old times.  Would definitely recommend to anyone with kids or infants instead of other sweetened snacks (that would probably contain some kind of weird chemical)...this stuff is all natural.<br /><br />The 9 grams of sugar may be a bit much for an 2-3 year old to have more than one or two per day (unless you don\'t mind them running around with their arms above their head, bouncing off walls, and yelling with a big smile on their face.)<br /><br />On a final note - this review is for the Strawberry flavor.  While it does have sweetness and light strawberry flavor, it is rather ""tart"" for a strawberry.  In fact, the ingredients don\'t actually list ""strawberries"" anywhere in them:  Organic Apple Puree, Organic Apple Juice Concentrate, Organic Flavors, Pectin, colored with Fruit and Vegetable Juice.  With that said...the apple puree/apple juice taste like they were Granny Smith or maybe Gravensteins.<br /><br />So, while not exactly tasting like a fresh picked strawberry by any stretch of the imagination (hence the 4 stars rather than 5), they are very tasty.  (If given a Strawberry one without knowing which flavor it was prior, I don\'t think everybody would agree that it\'s strawberry.)  At any rate, I will certainly buy these in the future - will try other flavors to see if they all have ""tart apple with hint of &lt;flavor>"" flavored.', 'Delicious fruit-twists with a great, chewy texture - the twist is thick enough to feel substantial.  Way better than those ""Fruit Roll-ups"" of old times.  Would definitely recommend to anyone with kids or infants instead of other sweetened snacks (that would probably contain some kind of weird chemical)...this stuff is all natural.<br /><br />The 9 grams of sugar may be a bit much for an 2-3 year old to have more than one or two per day (unless you don\'t mind them running around with their arms above their head, bouncing off walls, and yelling with a big smile on their face.)<br /><br />On a final note - this review is for the Strawberry flavor.  While it does have sweetness and light strawberry flavor, it is rather ""tart"" for a strawberry.  In fact, the ingredients don\'t actually list ""strawberries"" anywhere in them:  Organic Apple Puree, Organic Apple Juice Concentrate, Organic Flavors, Pectin, colored with Fruit and Vegetable Juice.  With that said...the apple puree/apple juice taste like they were Granny Smith or maybe Gravensteins.<br /><br />So, while not exactly tasting like a fresh picked strawberry by any stretch of the imagination (hence the 4 stars rather than 5), they are very tasty.  (If given a Strawberry one without knowing which flavor it was prior, I don\'t think everybody would agree that it\'s strawberry.)  At any rate, I will certainly buy these in the future - will try other flavors to see if they all have ""tart apple with hint of &lt;flavor>"" flavored.', 'I am not a big fan of fruit roll-ups as they tend to be more like candy than fruit with added sugar. These Twisted Fruit ropes are a ""whole"" other story. They are Organic and provide ONE FULL Serving of Fruit! Each one is 70 calories and best of it, they are satisfying. And I love its dense, chewy texture. It\'s SO GOOD that I enjoy it as much as my children do ! So far, I have had the pleasure of trying the strawberry, sour apple, and tropical fruit twists. I love them all although the sour apple is indeed ""sour"". It will make your mouth pucker which I personally love but I buy the strawberry & tropical flavors for my children. I just wish that they were less expensive but I can see how they cost more to produce so I am willing to pay more to get a better, more nutritious fruit snack ! Btw, Amazon has the best prices on these esp. if you ""subscribe and save"". They are not yet readily available and at my Whole Foods Supermarket, they sell for 99 cents EACH !']"
86,53,86_chili_sansho_powder_spicy,"['chili', 'sansho', 'powder', 'spicy', 'cayenne', 'pepper', 'beans', 'hot', 'skyline', 'heat']","[""This chili is delicious. It's not a hot chili, but it is both savory and sweet.It is quite hearty, it's a thick chili, not soup-like at all. For canned chili, the sodium content is not bad.  It's reasonably healthy. I bring a bunch of these to work.  Along with a corn muffin and a green salad, makes a perfect lunch."", ""I had a recipe that called for a lot of dark chili powder and the only place I could find it was amazon.com.  I bought a jar of this and it made two batches of the chili recipe I have.  The chili was the best I'd ever made.  I can vouch that this chili powder really does make a big difference in the flavor of a chili.  It is rich with a bit of a kick.  Everyone has been crazy for it, and I think its due to this chili powder. I'm back to buy the bag this time!"", 'We live out in the country and we were happy to find we could order our favorite chili through Amazon.Com.  It shipped that very night and we had it within just a few days.<br /><br />This is our favorite chili. It\'s so easy to make and it doesn\'t take much time (about 30 to 40 minutes.) We seem to always have chicken or turkey, so we put pieces of either one in the chili and enjoy the chili with hot cornbread.<br /><br />The best part about the chili is it\'s not just plain old chili. It has a variety of beans as well as rice and some pepper which make the chili very tasty.<br /><br />This really is ""Darn Good Chili""!']"
87,53,87_iced_tea_hot_cold,"['iced', 'tea', 'hot', 'cold', 'ice', 'drink', 'pitcher', 'water', 'pg', 'glass']","['Rishi Iced Tea makes the perfect pitcher of tea.  Can be enjoyed either hot or cold. Consistently smooth, always fresh.  We drink this by the pitcher.  Works great in an electric iced tea maker.  Use the subscription option from Amazon and you will always have it on hand.  I have not found this tea in any grocery stores in AZ; very rarely World Market has the lemon flavored Rishi Iced Tea but not this plain one.  I love the subscription option that Amazon offers...best price BY FAR, too!', 'This tea is absolutely amazing.  It smells great, and more importantly it tastes great -- hot or iced, sweetened or not.  I drink a ton of iced tea, and this has quickly become one of my favorites.', 'I did not like any of the brew over iced tea flavors so i tried this and love it.  Would definately recommend for iced or hot tea.']"
88,52,88_pb2_peanut_butter_shakes,"['pb2', 'peanut', 'butter', 'shakes', 'calories', 'smoothie', 'pb', 'tbsp', 'chocolate', 'protein']","[""Love PB2 Chocolate Powdered peanut butter. Tastes great, not a lot of calories, easy to store, and combined chocolate and peanut butter! What's not to love? Well worth the price."", ""I'm not worried about my fat intake at all, but I love peanut butter and would easily eat 400 peanut butter calories daily. I'll eat a spoonful by itself, put a couple in a smoothie... With the same amount of PB2, I'm eating 90 calories. That means I can dip apple slices & dark chocolate, eat spoonfuls, and still put some powder in my smoothie without gaining 2 pounds a month.<br /><br />I bought one bag of chocolate and one of regular and mixed them together (thinking if it was nasty, the chocolate would help it taste better). It actually tastes really good! I tried them separately and they were both good, but I prefer them mixed. My boyfriend says he can't tell that it's not regular peanut butter (I can tell) and that he prefers the powder to real peanut butter in shakes and smoothies. (I make fake ice-cream all the time by blending ice, almond milk, banana, and pb2).<br /><br />Honestly, the powder doesn't taste the same. However, it is close enough to make me keep eating it instead of the real peanut butter in the cupboard. I like that I can make it as creamy or as thick as I want.<br /><br />I took a chance buying the larger bags because it's cheaper by weight, and I am not at all disappointed. PB2 is well worth the money and I will be buying it regularly."", ""I have always loved peanut butter but didn't eat it often because of all the calories in regular peanut butter.  With PB2 I can now have my peanut butter without all the calories.  Love it!!!!!""]"
89,52,89_vanilla_starbucks_coffee_flavored,"['vanilla', 'starbucks', 'coffee', 'flavored', 'coffees', 'fusions', 'aroma', 'natural', 'beans', 'ground']","['I am not generally a fan of vanilla-flavored coffee, but this Starbucks Vanilla coffee is pretty tasty! The vanilla isn\'t overpowering, as it is in some vanilla coffees I\'ve tasted in the past. In fact, one might call the vanilla ""subtle."" :)<br /><br />I might have preferred a slightly more robust coffee brew, but I can see how such a blend might have overpowered the vanilla flavor.', ""I traditionally drink my coffee with a little vanilla creamer. I usually brew a cup of Starbucks, house blend coffee, at home every morning and indulge from time to time in a white chocolate vanilla latte from Starbucks. (I know what some of you are thinking, that's not real coffee but hot chocolate.). Regardless, I usually don't like strong coffees and manipulate the directions to accommodate my tastes. When I selected this coffee, I hoped that it would be something that I would enjoy and I was not disappointed. Starbucks Natural Fusions Ground Coffee, Vanilla flavored was pleasing (remember, I used less coffee than the directions required) and not overwhelming. The way I prepared it, it had a rich (yet mild) flavor. It is a bit milder than most Starbucks coffee that I have purchased in the past, and not as acidic. It made for a decent cup of coffee.<br /><br />Scale: 1 to 5, with 5 being the highest.<br />Packaging - 5 (You are able to secure the product once opened. Adhesive tape closes nicely insuring that the product remains fresh).<br />Flavor - 4 (It has a rich, mild taste and isn't acidic. I rate it a 4 because if I follow the directions on the package, the taste would be a little overwhelming.)<br />Cost - 5 (In the store where I shop, Starbucks coffee costs close to $9 for a package, unless you get it on sale...so the Amazon cost seems reasonable. Especially if you consider you are getting 2 packages for a little over the cost of 1. And it's cheaper if you spend between $3 and $4 for a cup of coffee in Starbucks, while buying a bag gets you at least 30.)<br />Smell - 4 (When you open the package, you can smell the faint smell of Vanilla and even see some vanilla beans in the grounds. While brewing you do get the faint aroma of vanilla.)<br /><br />The only thing that I am not sure of was my use of vanilla creamer. While I really enjoy the taste of my regular house/breakfast blend with a splash of vanilla creamer (I don't have to add sugar), it seemed that my normal splash of vanilla creamer did not complement the vanilla already in the coffee. I think it is better with a regular half & half, than a flavored creamer. Otherwise, I think this coffee is a wonderful alternative to regular coffee."", ""I want to preface this by saying I'm not a big fan of most of the Starbucks blends, though I am serious about coffee. I was pleasantly surprised and disappointed at the same time by this coffee.<br /><br />When you first open the bag the smell if of a surprisingly fresh and aromatic vanilla flavor. Upon inspection of the grounds you can see small bits of actual vanilla beans.  The aroma is great and better than traditional flavored coffees that use extracts that coat the beans or are roasted into them.<br /><br />I brewed the coffee using my Capresso 10-cup coffee maker with cold fresh water and a ratio of 1 tablespoon per 6 ounce cup of water.<br /><br />The coffee brewed with an aroma of coffee and vanilla. The vanilla dominated the brewing smells. First sip of of dark roasted coffee with a hint of vanilla flavor. I like the mild vanilla flavor. I love coffee and I usually don't like flavors masking the flavor of the beans. Roastmasters work hard to perfect their roasts and often times the flavors added destroy that. This is not the case with this coffee. The vanilla flavor augments the roast and adds to it, not takes away from it. The vanilla flavor is also fresher and more natural without the cloying artificial taste often associated with flavored coffee.<br /><br />My only beef with this coffee and with starbucks in general is that they often over roast their coffees to Italian roasts or beyond the second crack. I find this often masks complexities of the wonderful beans they use and substitute heavy mouthfeel and body for complexity. For that reason, I only give this coffee a four star rating.<br /><br />Another note is that this coffee seems to have plenty of caffeine. With only a cup or two, I feel the effects quite strongly, which is unusual because of the amount of coffee and tea I drink.<br /><br />Overall a good flavored coffee. Not overpowering and with a natural hint of vanilla flavor.""]"
90,51,90_nuts_nutmeg_brazil_nut,"['nuts', 'nutmeg', 'brazil', 'nut', 'mms', 'pine', 'planters', 'halves', 'fresh', 'freshness']","['We love mixed nuts and are always open to trying a different brand. The Emerald mixed nuts looked good on line--good selection, good price. Well, we found them to be unimpressive--not tasty, very small size, and generally a flop. We would rather pay more for a different brand and have nuts that are delicious.', 'These are the best nuts ever and the value is best with the 6 pack.', ""Received my Brazil nuts yesterday and I'm happy to say I'm really satisfied.<br />The added incentive to buying these nuts on Amazon is that I was unable to buy them from W-mart, they were unavailable for what seemed like months and I didn't feel like waiting any longer.<br />One reason for eating Brazil nuts is their high amounts of selenium plus they taste so good. Since I log my food intake on fitday.com it's comforting to see that only one Brazil nut to gets you the RDA of this important nutrient but not too much from mega dose vitamins.  I would rather get my nutrients from natural sources if possible rather than from supplements.<br /> One problem, trying to eat only one maybe two nuts takes some will power.<br />I'll be ordering again, that's for sure. The price was right and the shipping was fast.<br />One last note; I always store nuts in the fridge so they say fresher.""]"
91,51,91_altoids_mints_mint_peppermint,"['altoids', 'mints', 'mint', 'peppermint', 'ginger', 'spearmint', 'altoid', 'breath', 'cinnamon', 'mouth']","['Thank god for the internet, as I have only seen these mints in one store while visiting Florida. Locally (Philly) I have yet to see these in any store, and believe me I\'ve looked everywhere.<br /><br />These are a great alternative to the overly powerful Peppermints, and the ""Tastes too much like Big Red gum"" cinnamon mints. These are strong, but you don\'t get the burning tongue sensation with the urge to spit it out. Of all the Altoid flavors, this is most enjoyable of the lot.<br /><br />If you like spearmints but never had the chance to try these, I couldn\'t recommend them more. These are now my mints of choice over Polo Mints and another of my favorites, Foxes Mints. Now if we could just get stores to carry these maybe more people would learn how truly excellent they taste.', 'Just when I thought Ginger altoids had been dicontinued!  Whew!  Thankfully you can find just about anything online!  Hooray!  I was very pleased to purchase an entire case of Ginger Altoids.  Now I have plenty for my friends and me!  These are the best for curing car sickness, indigestion or just freshening your breath.  Beware!  Many claim the flavor is just too ""Curiously"" strong for them.  I, on the other hand, can not get enough of them.  Thanks Altoids!  Love them!', 'Spearmint Altoids used to be my favorite!  The last order I received advertised in a Yellow banner - ""NEW GREAT TASTE! SAME PUNCH!""  Altoids has moved from ""Naturally"" flavored to ""Naturally and Artificially Flavored.""  The mints have a bite now and an undesirable aftertaste.  Sadly, I will never purchase these again and after decades of my favorite mint, I now have to bid a sad farewell.  If you are a fan of the good ol\' Spearmint Altoids, do not buy these.']"
92,51,92_traps_moths_flies_trap,"['traps', 'moths', 'flies', 'trap', 'fly', 'hose', 'spray', 'fleas', 'moth', 'safer']","['I should have known better and heeded the advice of those that had reviewed before me. I picked up a bottle of this horsecrap at Lowe\'s after trying some of the EcoSMART Mosquito & Tick Control and failing to eradicate my backyard mosquito problem. I figured, how hard could it be to manufacture a garden hose attached spray bottle and adhere to Bernoulli\'s principle. Apparently the answer is ""very.""<br /><br />I followed the directions line by line to be sure I didn\'t screw anything up. I shook the container well. I attached the garden hose to my ready spray nozzle. I made sure the dial was in the off position. Then when I got to step 4 all hell broke loose. I turned the water on carefully (at the faucet, just like the directions said). I hadn\'t even turned the water on all the way, maybe just 25%, and I noticed from across the lawn that the ready spray nozzle was readily spraying water out the back of the nozzle at extreme pressure. I mean EXTREME pressure. Little tiny streams of super pressurized water that could cut through flesh with more efficiency than a .50 caliber. That lasted for approximately 7 seconds until the entire hose, complete with the screw-on portion of the ready spray nozzle, exploded away from the rest of the container and fired the hose back about 3 feet.<br /><br />Like any good homeowner would do at that point, I turned off the water and strolled over to survey the damage. Thankfully, it looked repairable. I unscrewed the blue screw-end off the hose, making sure that the rubber washer came with it and then forcefully jammed it back onto the end of the nozzle. Maybe I had screwed it onto the hose too tightly, maybe I had turned the water on too fast with too much pressure. I figured what the hell, I\'ll try it again. 2nd time, same result. 3rd time, same result.<br /><br />For my next attempt I figured I\'d outsmart the bugger and skip ahead a few steps. So before turning the water on, I bent the safety tab back and turned the dial clockwise until it stopped. I thought to myself, ""Sweet, water will automatically mix with the product when I turn the hose on and I\'ll eliminate my back pressure problem. Rock on."" Naturally my next move was to turn the water on. In hindsight, this was clearly a terrible move. I turned the water on and from the other side of the lawn everything looked to be in order. The sprayer was spraying and the hose was still attached. I jogged over and picked up the bottle and started to walk at a steady pace while spraying using an even sweeping motion, slightly overlapping the areas to be treated. But as soon as I moved the bottle around a little bit, the little tiny streams of super pressurized flesh destroying water returned with a vengeance and began nailing me in the face with anger and rage. I refused to lose and restrained both the hose and the nozzle with both hands using an overhand death grip most likely taught in MMA schools throughout Brazil and other parts of South America.<br /><br />I finally had it under control. The spray was coming out the right end and the hose remained attached to the bottle. Never mind that the muscles in my hands were quickly starting to burn from the sheer force that I had to apply to keep the whole system intact and operating. But whatever, it was working. After a couple minutes of running around my yard like a blind monkey on acid, I decided to look into the clever little window they build into the side of the bottle to make sure that the chemical was actually coming out with the stream of water. Nothing. Hadn\'t gone down even a centimeter. I set the bottle onto the ground carefully making sure not to loosen up the insanity driven choke grip that I had on the bottle and I watched. I watched for 5 minutes. I smelled the spray coming out looking for any sign of the chemicals. Nothing. Not a god damned thing. The only thing coming out of that sprayer was water.<br /><br />I blinked. It must have been a little longer than average because by the time I opened my eyes the whole thing was over. I was soaking wet. Shoes, shirt, shorts, face, everything. The bottle was laying several feet away. The hose was by my side quietly pouring water onto the lawn. A bird chirped in the distance. At least it was over. After a good fight it was time to accept defeat and move on with my life.<br /><br />I may never be the same after this day. I suspect that the events will be replayed in my mind over and over until I\'m left drooling in a corner somewhere mumbling to myself. But before that happens I must warn the others. Don\'t buy this product. Never buy this product.', 'I have two dogs and the flies are always around.  These fly traps work very well with no smell.', ""These moth traps really work.  I had a serious infestation of clothes moths in my apartment when I took my grandmother wool coat out of my closet and released a bunch of moths accidentally.  These few moths bred and then I had a moth problem. I didn't think I could get rid of them.  You have to give the product some time to work.  I set out 7 traps in my apartment.  I saw moths being caught little by little over a period of a few weeks.  I probably caught 60+ moths in these traps.  I think I finally have my apartment back under control with the help of these traps and extensive vacuuming and cleaning.""]"
